Season,Player,Team,Games Played,Win Percentage,Average Scoreboard Position,Shooting Percentage,Assists Per Goal,Goal Participation,Misc Score Per Game,Misc Score Percentage
1,Markydooda,,66,69.70%,1.86,30.56%,0.69,63.11%,117.6,40.80%
1,Chausette45,,25,52.00%,1.76,23.08%,0.58,67.86%,91,47.30%
1,kuxir97,,66,69.70%,1.92,31.67%,0.69,57.28%,126.4,45.80%
1,remkoe,,64,68.80%,1.97,30.39%,0.73,57.84%,122.4,46.30%
1,gReazy,,64,68.80%,1.81,26.98%,1.2,60.54%,135.9,49.70%
1,Maestro,,64,68.80%,2.22,33.03%,0.64,63.78%,103.8,41.70%
1,Turbopolsa,,49,46.90%,1.88,30.00%,0.43,57.69%,104.2,44.40%
1,Dogu,,49,49.00%,2.04,32.46%,0.57,53.70%,106.1,44.40%
1,ELMP,,46,39.10%,2.13,27.21%,0.76,59.09%,92.5,41.10%
1,Snaski,,46,39.10%,1.74,30.00%,0.69,55.45%,117,46.90%
1,Vogan,,49,49.00%,1.94,28.81%,0.79,56.48%,108.3,46.00%
1,M1k3Rules,,66,69.70%,2.21,29.50%,0.93,55.34%,102.9,42.50%
1,Jessie,,49,49.00%,2.27,31.62%,0.73,59.26%,106.1,46.30%
1,paschy90,,49,46.90%,2.04,27.68%,1,59.62%,113,48.70%
1,killarnaud,,29,44.80%,2.31,26.67%,0.25,46.88%,91.2,51.90%
1,Piksel,,31,32.30%,1.97,25.00%,0.8,65.45%,100.8,45.60%
1,Sikii,,49,46.90%,2.08,26.72%,0.81,53.85%,106.1,47.20%
1,Continuum,,31,32.30%,2.13,27.27%,0.61,52.73%,101.1,49.60%
1,Kaydop,,31,32.30%,1.9,22.37%,0.94,60.00%,134,54.90%
1,FaNaTiz,,29,44.80%,2.17,20.45%,0.89,53.13%,86.2,51.40%
1,GingerNinjaDT9,,29,17.20%,1.83,26.76%,0.58,51.72%,89,46.10%
1,Lunation,,34,14.70%,2,24.00%,1.11,60.32%,100.9,49.00%
1,Doomsee,,46,39.10%,2.13,27.01%,0.7,57.27%,99.8,43.50%
1,Juuksey,,34,14.70%,1.41,30.12%,0.56,61.90%,115.1,45.90%
1,Cooper,,4,25.00%,1.75,60.00%,1,85.71%,103.8,45.40%
1,Fakyy,,12,16.70%,2.58,15.79%,1.33,38.89%,67.5,46.40%
1,OSP,,5,0.00%,2.2,8.33%,2,60.00%,120,56.9
2,Fireburner,,56,58.90%,1.86,32.97%,0.44,65.67%,111.7,41.30%
2,GarrettG,,49,55.10%,1.45,33.55%,0.45,67.27%,152.7,50.40%
2,Vince,,28,35.70%,1.71,34.15%,0.71,76.19%,139.6,49.70%
2,Markydooda,,67,70.10%,2.12,25.91%,0.56,62.11%,118.4,45.70%
2,Espeon,,53,54.70%,1.72,31.82%,0.33,66.33%,130.4,50.10%
2,DarkFire,,45,48.90%,1.93,32.80%,0.73,65.14%,123.6,47.90%
2,Maestro,,57,54.40%,1.82,28.98%,0.55,62.20%,119.2,46.70%
2,Lethamyr,,9,44.40%,2.11,44.44%,1.12,70.83%,135,52.60%
2,remkoe,,57,54.40%,1.86,33.56%,0.6,62.99%,132.2,51.50%
2,paschy90,,81,55.60%,2.04,31.75%,0.63,62.64%,124.9,48.90%
2,Matt,,32,53.10%,1.97,29.55%,0.65,53.75%,127.3,48.80%
2,kuxir97,,67,70.10%,1.91,24.32%,0.94,65.22%,140.8,49.20%
2,Kronovi,,29,41.40%,1.55,28.40%,0.48,64.15%,128.3,48.60%
2,Sebadam,,24,20.80%,1.79,40.43%,0.53,74.36%,110,47.40%
2,Kaydop,,55,45.50%,1.8,26.88%,0.49,59.81%,128.8,49.30%
2,HotWheelsSid,,34,38.20%,1.94,26.60%,0.72,64.18%,115,49.50%
2,Torment,,45,48.90%,2.04,30.28%,0.97,59.63%,123.3,49.10%
2,Tequilaz,,41,46.30%,2.39,38.46%,0.5,54.22%,97.4,47.30%
2,Zanejackey,,65,44.60%,2.08,27.65%,0.66,60.94%,124.9,51.40%
2,Deevo,,81,55.60%,1.91,27.75%,0.9,63.22%,151.2,53.50%
2,chausette45,,41,46.30%,1.63,28.16%,0.72,60.24%,143.2,50.90%
2,Chrome,,27,44.40%,2.11,29.69%,0.95,61.67%,113.1,48.20%
2,Bell,,10,40.00%,2.1,43.75%,1,50.00%,102.5,47.90%
